"ds","Actual","Fitted","Error","AbsError","SqError","PctError","AbsPctError"
2013-10-01,108.3,108.115730284555,0.184269715445282,0.184269715445282,0.0339553280302853,0.170147475018728,0.170147475018728
2013-11-01,108.6,108.541916617024,0.0580833829758802,0.0580833829758802,0.00337367937792277,0.0534837780625048,0.0534837780625048
2013-12-01,108.9,108.865332780492,0.0346672195084494,0.0346672195084494,0.00120181610844702,0.0318339940389802,0.0318339940389802
2014-01-01,109.5,109.330406568445,0.169593431554901,0.169593431554901,0.0287619320265669,0.154879846168859,0.154879846168859
2014-02-01,109.8,109.646549024973,0.153450975027198,0.153450975027198,0.0235472017367977,0.139754986363568,0.139754986363568
2014-03-01,109.9,109.580006985897,0.319993014102593,0.319993014102593,0.102395529074462,0.291167437763961,0.291167437763961
2014-04-01,109.9,109.642162750858,0.257837249141872,0.257837249141872,0.0664800470450477,0.234610781748746,0.234610781748746
2014-05-01,110,109.86872681848,0.131273181520157,0.131273181520157,0.0172326481864242,0.119339255927416,0.119339255927416
2014-06-01,110.2,109.978996140546,0.221003859454328,0.221003859454328,0.0488427058937083,0.200547966836958,0.200547966836958
2014-07-01,110.3,110.192110680384,0.107889319616021,0.107889319616021,0.0116401052872079,0.0978144330154315,0.0978144330154315
2014-08-01,110.5,110.447698077617,0.0523019223828811,0.0523019223828811,0.00273549108494492,0.047332056455096,0.047332056455096
2014-09-01,110.7,110.566333723508,0.133666276492377,0.133666276492377,0.0178666734713366,0.12074641056222,0.12074641056222
2014-10-01,111.3,110.854901007747,0.445098992253406,0.445098992253406,0.198113112904998,0.399909247307643,0.399909247307643
2014-11-01,111.9,111.230825746452,0.669174253547538,0.669174253547538,0.447794181610905,0.598010950444628,0.598010950444628
2014-12-01,111.8,111.481256546236,0.318743453764426,0.318743453764426,0.101597389317675,0.285101479216839,0.285101479216839
2015-01-01,110.6,111.684193574215,-1.08419357421468,1.08419357421468,1.1754757063684,-0.980283520989765,0.980283520989765
2015-02-01,109.9,111.861964579217,-1.96196457921673,1.96196457921673,3.84930501010107,-1.78522709664852,1.78522709664852
2015-03-01,110.9,111.704763744255,-0.804763744254771,0.804763744254771,0.647644684066959,-0.725666135486719,0.725666135486719
2015-04-01,111.9,112.112175745715,-0.212175745714546,0.212175745714546,0.0450185470695238,-0.189611926465189,0.189611926465189
2015-05-01,112.3,112.408830000057,-0.108830000057466,0.108830000057466,0.0118439689125081,-0.0969100623842086,0.0969100623842086
2015-06-01,113,112.510939214898,0.489060785101728,0.489060785101728,0.239180451524318,0.432797154957281,0.432797154957281
2015-07-01,113.9,112.825830213746,1.07416978625426,1.07416978625426,1.15384072970152,0.943081462909797,0.943081462909797
2015-08-01,113.9,113.130251584613,0.769748415386957,0.769748415386957,0.592512622990731,0.675810724659312,0.675810724659312
2015-09-01,113.6,113.389349816873,0.210650183126873,0.210650183126873,0.0443734996513851,0.185431499231402,0.185431499231402
2015-10-01,114.1,113.897813219315,0.202186780684812,0.202186780684812,0.0408794942836883,0.177201385350405,0.177201385350405
